Unnamed: 0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11
R1,686.0,-106.0,409.0,-78.0,552.0,-124.0,20.0,-55.0,-56.0,45.0,166.0,537.0,1129.0,369.0,-243.0,-142.0,59.0,-102.0,-190.0,144.0,300.0,49.0,140.0,787.0,240.0,-396.0,-210.0,551.0,61.0,431.0,442.0,348.0,232.0,-73.0,52.0,-100.0,-54.0,-13.0,-151.0,245.0,175.0,77.0,-91.0,112.0
R2,-106.0,-775.0,134.0,-217.0,421.0,-283.0,-125.0,-420.0,-568.0,-283.0,8.0,380.0,829.0,42.0,-426.0,-170.0,-222.0,-366.0,-494.0,-52.0,-118.0,-191.0,-180.0,273.0,-225.0,-159.0,-316.0,210.0,-349.0,170.0,-268.0,-162.0,264.0,-300.0,-296.0,-568.0,-338.0,-82.0,-449.0,-354.0,-326.0,-31.0,-395.0,-92.0
R3,409.0,134.0,1345.0,400.0,657.0,-140.0,-37.0,215.0,109.0,155.0,440.0,532.0,1081.0,399.0,-138.0,132.0,175.0,-82.0,28.0,312.0,516.0,434.0,306.0,748.0,215.0,107.0,103.0,547.0,90.0,418.0,444.0,203.0,602.0,-332.0,405.0,251.0,-276.0,186.0,-125.0,67.0,273.0,582.0,239.0,-24.0
R4,-78.0,-217.0,400.0,-388.0,377.0,-241.0,-232.0,-428.0,-272.0,-311.0,236.0,419.0,578.0,151.0,-218.0,-518.0,11.0,-265.0,-284.0,95.0,154.0,-34.0,-62.0,228.0,-119.0,-282.0,-107.0,120.0,-121.0,269.0,46.0,-290.0,52.0,-448.0,-331.0,-290.0,-155.0,-51.0,-430.0,-18.0,-185.0,-72.0,-42.0,-139.0
R5,552.0,421.0,657.0,377.0,2807.0,543.0,411.0,54.0,-122.0,331.0,486.0,816.0,1357.0,682.0,594.0,340.0,553.0,16.0,189.0,727.0,767.0,441.0,958.0,1156.0,589.0,183.0,668.0,586.0,306.0,912.0,642.0,630.0,828.0,309.0,565.0,313.0,123.0,700.0,271.0,1020.0,228.0,540.0,229.0,508.0
R6,-124.0,-283.0,-140.0,-241.0,543.0,-353.0,-36.0,-195.0,-247.0,-45.0,-41.0,432.0,920.0,37.0,-446.0,-263.0,131.0,-157.0,-346.0,161.0,124.0,-266.0,-188.0,280.0,142.0,-367.0,78.0,19.0,-157.0,47.0,231.0,-231.0,178.0,-472.0,-38.0,-396.0,-411.0,-325.0,-348.0,275.0,-325.0,-28.0,-366.0,60.0
R7,20.0,-125.0,-37.0,-232.0,411.0,-36.0,-500.0,-357.0,-606.0,-154.0,4.0,246.0,477.0,25.0,-270.0,-215.0,36.0,-318.0,-129.0,-123.0,71.0,-119.0,-10.0,423.0,-30.0,-350.0,-393.0,109.0,35.0,234.0,59.0,-234.0,223.0,-423.0,-321.0,-366.0,-378.0,39.0,-222.0,-202.0,-387.0,-178.0,-126.0,-71.0
R8,-55.0,-420.0,215.0,-428.0,54.0,-195.0,-357.0,-859.0,-453.0,-237.0,104.0,25.0,569.0,-85.0,-372.0,-483.0,-212.0,-381.0,-397.0,-70.0,-55.0,-140.0,32.0,404.0,-12.0,-310.0,-192.0,-150.0,-311.0,321.0,117.0,-182.0,157.0,-377.0,-371.0,-398.0,-515.0,-170.0,-308.0,-121.0,-248.0,-322.0,-489.0,-54.0
R9,-56.0,-568.0,109.0,-272.0,-122.0,-247.0,-606.0,-453.0,-1532.0,-189.0,-311.0,-88.0,427.0,-183.0,-573.0,-368.0,-4.0,-383.0,-617.0,-250.0,-43.0,-368.0,-127.0,107.0,-395.0,-293.0,-342.0,-398.0,-386.0,-23.0,-198.0,-376.0,97.0,-487.0,-444.0,-441.0,-458.0,-84.0,-594.0,-373.0,-579.0,-337.0,-423.0,-537.0
R10,45.0,-283.0,155.0,-311.0,331.0,-45.0,-154.0,-237.0,-189.0,-270.0,-192.0,317.0,758.0,13.0,-509.0,-302.0,-126.0,-185.0,-95.0,-40.0,159.0,100.0,49.0,554.0,73.0,-505.0,-27.0,233.0,-352.0,260.0,150.0,-43.0,119.0,-392.0,-368.0,-216.0,-488.0,36.0,-414.0,120.0,-158.0,248.0,-149.0,-100.0
