Unnamed: 0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11
R1,2377.0,48.0,346.0,-50.0,735.0,276.0,181.0,65.0,86.0,240.0,692.0,873.0,1198.0,763.0,331.0,214.0,566.0,235.0,-65.0,1019.0,682.0,476.0,677.0,754.0,451.0,387.0,424.0,599.0,476.0,469.0,560.0,385.0,671.0,373.0,329.0,208.0,209.0,288.0,503.0,486.0,612.0,518.0,60.0,666.0
R2,48.0,401.0,73.0,-336.0,423.0,129.0,134.0,-186.0,-181.0,164.0,284.0,316.0,726.0,349.0,-74.0,170.0,189.0,-106.0,-36.0,502.0,193.0,102.0,60.0,401.0,-65.0,-31.0,21.0,155.0,-164.0,110.0,305.0,-206.0,204.0,-90.0,272.0,-45.0,-286.0,62.0,-94.0,-59.0,162.0,26.0,-423.0,10.0
R3,346.0,73.0,2640.0,138.0,640.0,284.0,45.0,93.0,300.0,294.0,760.0,640.0,1188.0,697.0,402.0,473.0,522.0,433.0,283.0,819.0,762.0,447.0,741.0,957.0,599.0,398.0,351.0,479.0,268.0,963.0,674.0,572.0,832.0,411.0,503.0,235.0,146.0,433.0,452.0,497.0,447.0,781.0,227.0,515.0
R4,-50.0,-336.0,138.0,1089.0,609.0,154.0,260.0,-52.0,-28.0,-107.0,163.0,345.0,907.0,437.0,80.0,10.0,70.0,127.0,-105.0,360.0,661.0,296.0,463.0,466.0,244.0,71.0,50.0,276.0,109.0,356.0,637.0,255.0,470.0,249.0,173.0,93.0,-115.0,386.0,-192.0,184.0,278.0,180.0,-90.0,230.0
R5,735.0,423.0,640.0,609.0,4128.0,671.0,638.0,355.0,560.0,821.0,827.0,1144.0,1481.0,1050.0,334.0,580.0,1003.0,639.0,306.0,914.0,844.0,614.0,1092.0,1273.0,899.0,570.0,649.0,860.0,608.0,1227.0,959.0,882.0,1255.0,668.0,908.0,641.0,358.0,1128.0,403.0,789.0,781.0,666.0,504.0,716.0
R6,276.0,129.0,284.0,154.0,671.0,1570.0,-13.0,45.0,-63.0,483.0,720.0,668.0,878.0,510.0,249.0,-10.0,461.0,220.0,-129.0,554.0,646.0,245.0,491.0,557.0,282.0,180.0,178.0,226.0,334.0,296.0,403.0,180.0,556.0,241.0,276.0,-60.0,-15.0,381.0,229.0,-131.0,235.0,292.0,-29.0,480.0
R7,181.0,134.0,45.0,260.0,638.0,-13.0,1448.0,-37.0,192.0,343.0,475.0,308.0,1015.0,267.0,122.0,108.0,356.0,169.0,-27.0,830.0,417.0,306.0,515.0,543.0,168.0,146.0,-10.0,236.0,151.0,403.0,594.0,246.0,366.0,-119.0,200.0,130.0,-18.0,337.0,190.0,207.0,502.0,194.0,144.0,370.0
R8,65.0,-186.0,93.0,-52.0,355.0,45.0,-37.0,367.0,-325.0,-73.0,403.0,105.0,448.0,339.0,-38.0,4.0,191.0,19.0,-126.0,307.0,219.0,68.0,87.0,535.0,-27.0,-208.0,-116.0,317.0,54.0,258.0,178.0,-128.0,227.0,-138.0,133.0,54.0,-213.0,33.0,-53.0,122.0,-13.0,144.0,-328.0,194.0
R9,86.0,-181.0,300.0,-28.0,560.0,-63.0,192.0,-325.0,410.0,-7.0,287.0,235.0,608.0,372.0,-70.0,49.0,49.0,-85.0,-317.0,548.0,163.0,257.0,-11.0,640.0,384.0,-214.0,-231.0,208.0,-323.0,433.0,148.0,-148.0,404.0,-267.0,-68.0,-69.0,-312.0,147.0,-93.0,-43.0,189.0,-1.0,-149.0,26.0
R10,240.0,164.0,294.0,-107.0,821.0,483.0,343.0,-73.0,-7.0,1579.0,546.0,694.0,809.0,520.0,149.0,-129.0,341.0,119.0,153.0,436.0,581.0,39.0,428.0,688.0,378.0,147.0,33.0,404.0,179.0,314.0,483.0,22.0,580.0,284.0,208.0,170.0,169.0,460.0,199.0,288.0,228.0,167.0,-40.0,427.0
