Unnamed: 0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11
R1,0.0,-734.0,-434.0,-493.0,348.0,-749.0,-682.0,-615.0,-727.0,-660.0,-246.0,-409.0,510.0,-366.0,-538.0,-862.0,-563.0,-545.0,-1155.0,-357.0,-303.0,-691.0,-478.0,-342.0,-453.0,-1116.0,-694.0,-502.0,-482.0,-303.0,-552.0,-568.0,-128.0,-497.0,-649.0,-836.0,-922.0,-507.0,-811.0,-376.0,-536.0,-579.0,-777.0,-445.0
R2,11.0,0.0,60.0,-115.0,706.0,-431.0,-217.0,-307.0,-318.0,-202.0,190.0,270.0,475.0,-406.0,-118.0,-372.0,-247.0,-155.0,-527.0,-69.0,-125.0,-295.0,59.0,230.0,-147.0,-424.0,-225.0,-84.0,-224.0,-17.0,-6.0,-175.0,407.0,-532.0,-474.0,-304.0,-387.0,-180.0,-385.0,-315.0,-424.0,30.0,-367.0,-425.0
R3,-582.0,-885.0,0.0,-755.0,74.0,-860.0,-834.0,-1330.0,-880.0,-997.0,-88.0,-224.0,-158.0,-519.0,-685.0,-1059.0,-799.0,-727.0,-971.0,-443.0,-444.0,-917.0,-505.0,-382.0,-650.0,-1142.0,-1015.0,-780.0,-707.0,-490.0,-649.0,-1012.0,-377.0,-1067.0,-927.0,-1354.0,-1182.0,-821.0,-918.0,-851.0,-1191.0,-825.0,-664.0,-781.0
R4,-231.0,-708.0,-112.0,0.0,344.0,-410.0,-417.0,-1035.0,-579.0,-351.0,109.0,32.0,278.0,-324.0,-685.0,-651.0,-248.0,-274.0,-940.0,-226.0,-186.0,-141.0,-445.0,227.0,-422.0,-928.0,-810.0,-258.0,-118.0,-270.0,-187.0,-494.0,0.0,-782.0,-844.0,-673.0,-767.0,-163.0,-744.0,-393.0,-602.0,-442.0,-531.0,-744.0
R5,-1151.0,-1175.0,-670.0,-1106.0,0.0,-1276.0,-1154.0,-1263.0,-1236.0,-1026.0,-657.0,-1083.0,-268.0,-810.0,-712.0,-1268.0,-863.0,-1154.0,-1405.0,-517.0,-742.0,-882.0,-696.0,-443.0,-992.0,-1294.0,-1031.0,-848.0,-825.0,-780.0,-778.0,-861.0,-647.0,-839.0,-1078.0,-1215.0,-1298.0,-627.0,-1046.0,-1037.0,-941.0,-946.0,-1190.0,-823.0
R6,-128.0,-785.0,233.0,-134.0,609.0,0.0,-273.0,-392.0,-512.0,-272.0,329.0,-273.0,595.0,-46.0,-558.0,-680.0,-450.0,-475.0,-652.0,18.0,-129.0,-356.0,-76.0,182.0,-386.0,-663.0,-532.0,-273.0,-390.0,-151.0,-258.0,-327.0,133.0,-567.0,-549.0,-629.0,-631.0,-329.0,-446.0,-268.0,-717.0,-445.0,-665.0,-246.0
R7,-76.0,-342.0,87.0,-335.0,404.0,-456.0,0.0,-840.0,-602.0,-246.0,84.0,-317.0,344.0,-234.0,-430.0,-799.0,-426.0,-405.0,-721.0,-176.0,-235.0,-667.0,-98.0,-114.0,-497.0,-593.0,-547.0,-377.0,-211.0,-205.0,-169.0,-731.0,31.0,-618.0,-524.0,-865.0,-918.0,-451.0,-494.0,-262.0,-467.0,-318.0,-493.0,-621.0
R8,163.0,-239.0,148.0,-118.0,556.0,-307.0,-28.0,0.0,-146.0,-338.0,571.0,-77.0,628.0,-74.0,-371.0,-261.0,-181.0,-14.0,-402.0,-132.0,-61.0,-230.0,-93.0,156.0,-351.0,-418.0,-226.0,-323.0,-276.0,206.0,-269.0,-206.0,360.0,-490.0,-211.0,-445.0,-624.0,-22.0,-196.0,-70.0,-332.0,82.0,-606.0,-214.0
R9,-181.0,-482.0,-115.0,-146.0,174.0,-331.0,-357.0,-514.0,0.0,-526.0,188.0,2.0,52.0,-199.0,-464.0,-268.0,-257.0,-219.0,-626.0,-31.0,-229.0,-286.0,-378.0,100.0,-601.0,-638.0,-326.0,-305.0,-587.0,-253.0,-360.0,-243.0,-111.0,-418.0,-321.0,-297.0,-495.0,-104.0,-269.0,-344.0,-638.0,-518.0,-405.0,-409.0
R10,-172.0,-555.0,-38.0,-336.0,614.0,-361.0,-206.0,-647.0,-683.0,0.0,367.0,219.0,615.0,-208.0,-688.0,-504.0,-131.0,-183.0,-652.0,-46.0,-177.0,-275.0,-143.0,-50.0,11.0,-679.0,-274.0,-240.0,-676.0,-142.0,-52.0,-403.0,-84.0,-418.0,-743.0,-410.0,-584.0,-286.0,-822.0,-382.0,-472.0,-465.0,-506.0,-319.0
R11,-519.0,-910.0,-487.0,-442.0,-132.0,-901.0,-803.0,-817.0,-601.0,-520.0,0.0,-517.0,79.0,-408.0,-857.0,-811.0,-582.0,-484.0,-940.0,-272.0,-598.0,-688.0,-657.0,-437.0,-794.0,-1098.0,-705.0,-580.0,-550.0,-472.0,-515.0,-606.0,-652.0,-502.0,-642.0,-942.0,-1051.0,-749.0,-833.0,-556.0,-743.0,-728.0,-901.0,-1139.0
Y1,-629.0,-789.0,-678.0,-686.0,-98.0,-670.0,-691.0,-887.0,-849.0,-378.0,-232.0,0.0,-72.0,-450.0,-1180.0,-870.0,-484.0,-356.0,-1066.0,-285.0,-344.0,-1001.0,-564.0,-334.0,-374.0,-1247.0,-905.0,-646.0,-872.0,-349.0,-669.0,-619.0,-820.0,-687.0,-834.0,-1131.0,-863.0,-622.0,-1243.0,-910.0,-891.0,-791.0,-1197.0,-941.0
Y2,-970.0,-1367.0,-1037.0,-869.0,-684.0,-1178.0,-1075.0,-1678.0,-1306.0,-1226.0,-543.0,-824.0,0.0,-1113.0,-1231.0,-1634.0,-1239.0,-987.0,-1433.0,-646.0,-883.0,-1259.0,-972.0,-845.0,-1315.0,-1800.0,-1282.0,-1069.0,-1205.0,-859.0,-1100.0,-1592.0,-516.0,-1245.0,-1466.0,-1234.0,-1144.0,-1218.0,-1308.0,-1247.0,-1355.0,-1273.0,-1492.0,-1231.0
Y3,-620.0,-938.0,-439.0,-571.0,119.0,-953.0,-712.0,-666.0,-1167.0,-594.0,-322.0,-444.0,250.0,0.0,-896.0,-931.0,-723.0,-585.0,-878.0,-298.0,-449.0,-376.0,-514.0,-55.0,-615.0,-863.0,-690.0,-727.0,-786.0,-248.0,-548.0,-721.0,-56.0,-767.0,-959.0,-788.0,-893.0,-533.0,-796.0,-880.0,-750.0,-712.0,-771.0,-658.0
Y4,0.0,-529.0,-47.0,-171.0,611.0,-156.0,-349.0,-672.0,-538.0,-464.0,161.0,131.0,450.0,-211.0,0.0,-387.0,-443.0,-469.0,-573.0,-243.0,-181.0,-111.0,-303.0,126.0,48.0,-788.0,-418.0,-453.0,-298.0,56.0,-291.0,-246.0,221.0,-473.0,-254.0,-767.0,-802.0,-346.0,-400.0,-316.0,-455.0,-301.0,-245.0,-417.0
Y5,-144.0,-444.0,-101.0,-395.0,390.0,-312.0,-420.0,-578.0,-438.0,-149.0,179.0,-379.0,571.0,-253.0,-469.0,0.0,-304.0,-515.0,-809.0,123.0,47.0,-293.0,-57.0,98.0,-223.0,-755.0,-481.0,-111.0,-323.0,44.0,-255.0,-452.0,275.0,-451.0,-488.0,-713.0,-569.0,-405.0,-441.0,11.0,-384.0,-245.0,-664.0,-346.0
