Unnamed: 0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11
R1,0.0,-628.0,-369.0,-724.0,-220.0,-550.0,-619.0,-764.0,-729.0,-379.0,-470.0,-119.0,227.0,-449.0,-594.0,-786.0,-465.0,-677.0,-627.0,-404.0,-158.0,-732.0,-441.0,-296.0,-598.0,-940.0,-778.0,-213.0,-681.0,-129.0,-585.0,-604.0,-192.0,-693.0,-540.0,-724.0,-784.0,-332.0,-721.0,-424.0,-509.0,-359.0,-701.0,-687.0
R2,-159.0,0.0,2.0,-500.0,127.0,25.0,-483.0,-412.0,-543.0,-284.0,-170.0,-32.0,339.0,88.0,-202.0,-41.0,-355.0,-389.0,-615.0,-194.0,-44.0,-573.0,100.0,92.0,-43.0,-406.0,-325.0,43.0,-416.0,72.0,-5.0,-276.0,241.0,-312.0,-262.0,-365.0,-636.0,31.0,-768.0,-296.0,-390.0,-306.0,-305.0,-170.0
R3,-424.0,-475.0,0.0,-844.0,-285.0,-868.0,-691.0,-727.0,-998.0,-588.0,-379.0,-247.0,131.0,-408.0,-927.0,-574.0,-715.0,-734.0,-609.0,-288.0,-520.0,-889.0,-266.0,-249.0,-205.0,-876.0,-949.0,-139.0,-922.0,-404.0,-279.0,-465.0,-120.0,-530.0,-852.0,-904.0,-941.0,-181.0,-1089.0,-776.0,-524.0,-780.0,-827.0,-431.0
R4,-331.0,-449.0,-298.0,0.0,74.0,-762.0,-309.0,-604.0,-345.0,-557.0,-142.0,27.0,-10.0,-105.0,-581.0,-329.0,-357.0,-531.0,-584.0,14.0,79.0,-380.0,-102.0,80.0,-116.0,-694.0,-224.0,-11.0,-510.0,21.0,-196.0,-322.0,245.0,-620.0,-595.0,-352.0,-491.0,-175.0,-440.0,-291.0,-428.0,-582.0,-749.0,-99.0
R5,-969.0,-1385.0,-853.0,-1000.0,0.0,-1388.0,-1011.0,-884.0,-1224.0,-1157.0,-525.0,-528.0,-59.0,-743.0,-1131.0,-991.0,-1081.0,-1034.0,-1215.0,-942.0,-678.0,-804.0,-860.0,-479.0,-774.0,-1370.0,-1084.0,-706.0,-676.0,-506.0,-676.0,-948.0,-614.0,-1038.0,-1078.0,-990.0,-1210.0,-769.0,-1246.0,-1014.0,-943.0,-972.0,-946.0,-973.0
R6,-308.0,-581.0,-158.0,-563.0,141.0,0.0,-378.0,-649.0,-485.0,-519.0,-239.0,49.0,276.0,-472.0,-521.0,-482.0,-446.0,-272.0,-751.0,-50.0,-44.0,-465.0,5.0,244.0,-254.0,-667.0,-451.0,22.0,-501.0,-70.0,-402.0,-137.0,-102.0,-618.0,-538.0,-664.0,-507.0,-287.0,-419.0,-327.0,-311.0,-392.0,-757.0,-341.0
R7,-137.0,-331.0,-325.0,-641.0,192.0,-343.0,0.0,-503.0,-274.0,-468.0,-100.0,43.0,250.0,-85.0,-354.0,-307.0,-295.0,-543.0,-503.0,-117.0,-62.0,-341.0,86.0,-117.0,-206.0,-790.0,-742.0,24.0,-520.0,129.0,-112.0,-366.0,-105.0,-313.0,-376.0,-489.0,-487.0,-117.0,-629.0,-290.0,-406.0,-446.0,-533.0,-551.0
R8,-265.0,-563.0,-100.0,-320.0,254.0,-333.0,-440.0,0.0,-528.0,-516.0,-214.0,-79.0,581.0,-43.0,-566.0,-165.0,-141.0,-294.0,-318.0,41.0,-22.0,-276.0,141.0,379.0,225.0,-282.0,-282.0,344.0,-232.0,147.0,37.0,136.0,361.0,-185.0,-474.0,-439.0,-243.0,252.0,-742.0,-254.0,-198.0,-452.0,-224.0,-296.0
R9,-36.0,-384.0,-1.0,-458.0,369.0,-289.0,-475.0,-234.0,0.0,-520.0,-33.0,109.0,495.0,-205.0,-662.0,-198.0,-153.0,-331.0,-523.0,-9.0,-137.0,-255.0,-58.0,297.0,107.0,-413.0,-535.0,64.0,-189.0,56.0,-37.0,-275.0,354.0,-230.0,-332.0,-423.0,-525.0,150.0,-540.0,-325.0,-435.0,-254.0,-513.0,-402.0
R10,-154.0,-840.0,-207.0,-490.0,325.0,-483.0,-763.0,-553.0,-352.0,0.0,-52.0,-43.0,399.0,-96.0,-376.0,-766.0,-358.0,-749.0,-833.0,-88.0,158.0,-386.0,-58.0,-68.0,-237.0,-480.0,-532.0,-146.0,-551.0,135.0,-165.0,-279.0,115.0,-532.0,-723.0,-636.0,-779.0,-267.0,-661.0,-480.0,-443.0,-441.0,-369.0,-636.0
R11,-748.0,-1221.0,-562.0,-984.0,-323.0,-922.0,-985.0,-1060.0,-1306.0,-1021.0,0.0,-381.0,-285.0,-544.0,-1330.0,-1048.0,-702.0,-930.0,-1081.0,-715.0,-438.0,-1040.0,-591.0,-452.0,-624.0,-1236.0,-715.0,-169.0,-972.0,-294.0,-503.0,-639.0,-225.0,-852.0,-1016.0,-1218.0,-1261.0,-472.0,-1167.0,-766.0,-829.0,-896.0,-918.0,-660.0
Y1,-581.0,-887.0,-423.0,-1330.0,-295.0,-1085.0,-925.0,-1038.0,-1396.0,-1010.0,-584.0,0.0,104.0,-786.0,-1167.0,-671.0,-845.0,-1036.0,-1558.0,-564.0,-521.0,-1099.0,-681.0,-550.0,-744.0,-1130.0,-751.0,-427.0,-1170.0,-293.0,-304.0,-664.0,-372.0,-917.0,-1353.0,-897.0,-965.0,-613.0,-1147.0,-1022.0,-954.0,-676.0,-1088.0,-865.0
Y2,-1237.0,-1800.0,-825.0,-1328.0,-814.0,-1651.0,-1219.0,-1341.0,-1534.0,-1489.0,-956.0,-857.0,0.0,-1071.0,-1490.0,-1389.0,-1452.0,-1545.0,-1534.0,-1051.0,-1000.0,-1338.0,-891.0,-1020.0,-798.0,-1525.0,-1360.0,-1030.0,-1235.0,-919.0,-1148.0,-1195.0,-897.0,-1543.0,-1352.0,-1386.0,-1316.0,-1088.0,-1670.0,-1261.0,-1171.0,-1293.0,-1552.0,-1006.0
Y3,-647.0,-966.0,-528.0,-753.0,-49.0,-987.0,-722.0,-815.0,-988.0,-476.0,-632.0,-365.0,527.0,0.0,-949.0,-634.0,-688.0,-861.0,-808.0,-553.0,-558.0,-559.0,-610.0,-350.0,-418.0,-1056.0,-828.0,-343.0,-727.0,-412.0,-619.0,-415.0,-358.0,-579.0,-758.0,-976.0,-819.0,-519.0,-888.0,-887.0,-712.0,-738.0,-1014.0,-746.0
Y4,-143.0,-303.0,-172.0,-819.0,256.0,-288.0,-611.0,-577.0,-644.0,-394.0,-321.0,60.0,350.0,-81.0,0.0,-429.0,-536.0,-513.0,-351.0,-245.0,-20.0,-487.0,-98.0,168.0,-97.0,-742.0,-382.0,62.0,-293.0,129.0,-60.0,-45.0,96.0,-367.0,-356.0,-538.0,-379.0,45.0,-398.0,-547.0,-316.0,-616.0,-218.0,-210.0
Y5,-298.0,-700.0,-233.0,-354.0,313.0,-450.0,-423.0,-555.0,-748.0,-609.0,-101.0,-121.0,135.0,-257.0,-498.0,0.0,-313.0,-324.0,-463.0,-37.0,-130.0,-508.0,-117.0,52.0,-183.0,-491.0,-492.0,-55.0,-473.0,36.0,53.0,-197.0,197.0,-393.0,-317.0,-351.0,-568.0,-213.0,-774.0,-408.0,-383.0,-155.0,-617.0,-320.0
Y6,-719.0,-803.0,-636.0,-971.0,-188.0,-685.0,-485.0,-693.0,-907.0,-691.0,-599.0,-521.0,18.0,-473.0,-839.0,-525.0,0.0,-876.0,-683.0,-462.0,-585.0,-598.0,-313.0,-194.0,-631.0,-1100.0,-747.0,-439.0,-547.0,-22.0,-164.0,-277.0,-262.0,-797.0,-560.0,-948.0,-808.0,-437.0,-808.0,-534.0,-740.0,-423.0,-813.0,-679.0
Y7,-48.0,-1111.0,-417.0,-469.0,-7.0,-703.0,-703.0,-696.0,-952.0,-471.0,-448.0,-325.0,92.0,-124.0,-885.0,-407.0,-270.0,0.0,-604.0,-311.0,-204.0,-406.0,-388.0,-52.0,-346.0,-806.0,-771.0,-11.0,-450.0,-64.0,-122.0,-8.0,-104.0,-295.0,-365.0,-552.0,-900.0,-183.0,-949.0,-261.0,-498.0,-439.0,-571.0,-522.0
Y8,-164.0,-481.0,153.0,-510.0,94.0,-511.0,-588.0,-395.0,-568.0,-387.0,-63.0,397.0,232.0,-23.0,-558.0,-291.0,-318.0,-468.0,0.0,-177.0,-56.0,-290.0,14.0,130.0,-341.0,-761.0,-724.0,-37.0,-226.0,-43.0,9.0,-105.0,201.0,-502.0,-455.0,-619.0,-588.0,-221.0,-456.0,-340.0,-163.0,-422.0,-528.0,-263.0
