Unnamed: 0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11
R1,-2178.0,-714.0,-713.0,-914.0,173.0,-675.0,-717.0,-1176.0,-1045.0,-512.0,-458.0,166.0,1227.0,228.0,-360.0,-593.0,-72.0,-886.0,-731.0,-36.0,403.0,-301.0,-390.0,344.0,-586.0,-1291.0,-760.0,-397.0,-474.0,-195.0,155.0,-778.0,255.0,-960.0,-280.0,-931.0,-988.0,-41.0,-774.0,-181.0,-433.0,-413.0,-317.0,-283.0
R2,-714.0,-4912.0,-1011.0,-1369.0,-156.0,-1236.0,-1120.0,-1595.0,-1442.0,-1176.0,-918.0,-198.0,951.0,-488.0,-803.0,-839.0,-812.0,-911.0,-1260.0,-514.0,-319.0,-543.0,-1163.0,3.0,-1096.0,-1773.0,-1323.0,-1056.0,-1675.0,-439.0,-580.0,-1401.0,-583.0,-1080.0,-1105.0,-1547.0,-1423.0,-646.0,-1204.0,-992.0,-1157.0,-980.0,-1054.0,-549.0
R3,-713.0,-1011.0,-615.0,-519.0,233.0,-287.0,-275.0,-776.0,-520.0,-601.0,154.0,984.0,1874.0,413.0,-87.0,-331.0,9.0,-151.0,-575.0,248.0,462.0,490.0,-338.0,333.0,137.0,-848.0,-556.0,137.0,-299.0,231.0,-77.0,-489.0,851.0,-135.0,-313.0,-787.0,-569.0,325.0,-497.0,-168.0,-193.0,188.0,-582.0,-292.0
R4,-914.0,-1369.0,-519.0,-3290.0,227.0,-581.0,-1010.0,-1159.0,-1064.0,-1119.0,-503.0,36.0,786.0,42.0,-600.0,-1059.0,-425.0,-952.0,-750.0,-192.0,-226.0,-260.0,-1003.0,-278.0,-458.0,-1385.0,-945.0,-697.0,-941.0,-14.0,-409.0,-688.0,-60.0,-1056.0,-735.0,-923.0,-1127.0,-94.0,-967.0,-581.0,-429.0,-408.0,-913.0,-598.0
R5,173.0,-156.0,233.0,227.0,1254.0,71.0,158.0,-698.0,-408.0,-106.0,581.0,889.0,1646.0,872.0,163.0,276.0,653.0,192.0,-63.0,776.0,813.0,134.0,417.0,896.0,258.0,-918.0,16.0,294.0,-436.0,868.0,535.0,-144.0,1265.0,-103.0,154.0,-192.0,-469.0,837.0,-417.0,105.0,391.0,222.0,-303.0,330.0
R6,-675.0,-1236.0,-287.0,-581.0,71.0,-4369.0,-1091.0,-1308.0,-1296.0,-1055.0,-144.0,-42.0,770.0,-479.0,-1259.0,-1086.0,-232.0,-994.0,-1168.0,-282.0,84.0,-900.0,-783.0,-476.0,-642.0,-1514.0,-1592.0,-852.0,-1224.0,-376.0,-516.0,-991.0,-203.0,-1635.0,-830.0,-1572.0,-1678.0,-396.0,-1143.0,-960.0,-1016.0,-1046.0,-1495.0,-822.0
R7,-717.0,-1120.0,-275.0,-1010.0,158.0,-1091.0,-3264.0,-997.0,-1150.0,-958.0,-612.0,121.0,842.0,-64.0,-690.0,-980.0,-693.0,-1012.0,-892.0,93.0,-62.0,-219.0,-799.0,135.0,-754.0,-1282.0,-1286.0,-493.0,-714.0,-343.0,-438.0,-801.0,-146.0,-824.0,-765.0,-936.0,-1247.0,-219.0,-1062.0,-763.0,-598.0,-515.0,-615.0,-319.0
R8,-1176.0,-1595.0,-776.0,-1159.0,-698.0,-1308.0,-997.0,-4617.0,-1289.0,-1217.0,47.0,-103.0,578.0,-352.0,-964.0,-850.0,-373.0,-1006.0,-1218.0,-221.0,-457.0,-832.0,-1066.0,-428.0,-833.0,-1554.0,-1361.0,-907.0,-1499.0,-321.0,-172.0,-1156.0,-425.0,-971.0,-927.0,-1069.0,-1666.0,-516.0,-1285.0,-751.0,-1125.0,-513.0,-1649.0,-776.0
R9,-1045.0,-1442.0,-520.0,-1064.0,-408.0,-1296.0,-1150.0,-1289.0,-4572.0,-953.0,-1072.0,-250.0,859.0,-16.0,-889.0,-873.0,-651.0,-919.0,-1324.0,-467.0,-416.0,-1040.0,-744.0,-201.0,-1223.0,-1603.0,-1460.0,-699.0,-988.0,-328.0,-624.0,-947.0,-315.0,-1213.0,-1275.0,-1264.0,-1319.0,-494.0,-845.0,-1130.0,-982.0,-1015.0,-982.0,-700.0
R10,-512.0,-1176.0,-601.0,-1119.0,-106.0,-1055.0,-958.0,-1217.0,-953.0,-3521.0,-685.0,-342.0,1101.0,152.0,-646.0,-339.0,-259.0,-897.0,-981.0,52.0,46.0,-509.0,-732.0,51.0,-834.0,-1405.0,-1300.0,-472.0,-1007.0,63.0,-731.0,-1089.0,-356.0,-983.0,-775.0,-1210.0,-1068.0,-422.0,-1172.0,-900.0,-402.0,-730.0,-1168.0,-522.0
R11,-458.0,-918.0,154.0,-503.0,581.0,-144.0,-612.0,47.0,-1072.0,-685.0,-251.0,2244.0,1371.0,645.0,-17.0,-371.0,25.0,-566.0,-359.0,103.0,767.0,-19.0,-119.0,548.0,29.0,-909.0,-303.0,2.0,-331.0,413.0,54.0,-267.0,659.0,-280.0,16.0,-494.0,-693.0,596.0,-305.0,-110.0,-172.0,65.0,-635.0,15.0
Y1,166.0,-198.0,984.0,36.0,889.0,-42.0,121.0,-103.0,-250.0,-342.0,2244.0,2090.0,2037.0,1079.0,323.0,59.0,763.0,256.0,-452.0,550.0,1117.0,401.0,236.0,792.0,334.0,-513.0,82.0,896.0,-107.0,1147.0,920.0,125.0,306.0,37.0,280.0,223.0,46.0,739.0,-107.0,18.0,480.0,294.0,249.0,605.0
Y2,1227.0,951.0,1874.0,786.0,1646.0,770.0,842.0,578.0,859.0,1101.0,1371.0,2037.0,6974.0,2192.0,1143.0,1074.0,1902.0,1228.0,751.0,1812.0,2323.0,1334.0,1365.0,2080.0,1131.0,426.0,788.0,1853.0,1164.0,1502.0,1721.0,873.0,1897.0,1145.0,1153.0,829.0,947.0,2161.0,974.0,1468.0,851.0,1307.0,849.0,1507.0
Y3,228.0,-488.0,413.0,42.0,872.0,-479.0,-64.0,-352.0,-16.0,152.0,645.0,1079.0,2192.0,1637.0,328.0,40.0,896.0,140.0,-327.0,1081.0,907.0,-33.0,70.0,667.0,187.0,-339.0,-81.0,530.0,-17.0,894.0,506.0,275.0,985.0,57.0,28.0,-54.0,-75.0,666.0,8.0,194.0,555.0,469.0,-353.0,668.0
Y4,-360.0,-803.0,-87.0,-600.0,163.0,-1259.0,-690.0,-964.0,-889.0,-646.0,-17.0,323.0,1143.0,328.0,-1704.0,-674.0,-66.0,-541.0,-625.0,-76.0,279.0,-436.0,27.0,195.0,-475.0,-998.0,-645.0,281.0,-815.0,182.0,-91.0,-759.0,10.0,-569.0,-561.0,-516.0,-1051.0,168.0,-647.0,-89.0,-217.0,-50.0,-609.0,94.0
Y5,-593.0,-839.0,-331.0,-1059.0,276.0,-1086.0,-980.0,-850.0,-873.0,-339.0,-371.0,59.0,1074.0,40.0,-674.0,-2738.0,-172.0,-708.0,-1064.0,44.0,2.0,-347.0,-698.0,-350.0,-463.0,-1166.0,-1078.0,-598.0,-962.0,-521.0,-215.0,-1017.0,137.0,-650.0,-472.0,-827.0,-1031.0,-203.0,-854.0,-378.0,-586.0,-247.0,-886.0,-48.0
Y6,-72.0,-812.0,9.0,-425.0,653.0,-232.0,-693.0,-373.0,-651.0,-259.0,25.0,763.0,1902.0,896.0,-66.0,-172.0,461.0,-205.0,-478.0,391.0,698.0,-82.0,370.0,575.0,162.0,-767.0,-642.0,348.0,-179.0,442.0,381.0,-262.0,794.0,387.0,111.0,-342.0,-274.0,1022.0,-120.0,-329.0,469.0,242.0,-118.0,601.0
Y7,-886.0,-911.0,-151.0,-952.0,192.0,-994.0,-1012.0,-1006.0,-919.0,-897.0,-566.0,256.0,1228.0,140.0,-541.0,-708.0,-205.0,-2602.0,-740.0,-143.0,135.0,-4.0,-505.0,-424.0,-381.0,-1221.0,-900.0,-235.0,-1050.0,-191.0,-178.0,-598.0,216.0,-561.0,-543.0,-872.0,-881.0,-154.0,-977.0,-598.0,-572.0,-341.0,-986.0,-180.0
Y8,-731.0,-1260.0,-575.0,-750.0,-63.0,-1168.0,-892.0,-1218.0,-1324.0,-981.0,-359.0,-452.0,751.0,-327.0,-625.0,-1064.0,-478.0,-740.0,-3595.0,-27.0,-156.0,-664.0,-994.0,-154.0,-742.0,-1291.0,-1210.0,-689.0,-893.0,122.0,-433.0,-973.0,-245.0,-203.0,-831.0,-1043.0,-1095.0,-101.0,-962.0,-1028.0,-895.0,-493.0,-948.0,-556.0
Y9,-36.0,-514.0,248.0,-192.0,776.0,-282.0,93.0,-221.0,-467.0,52.0,103.0,550.0,1812.0,1081.0,-76.0,44.0,391.0,-143.0,-27.0,1344.0,551.0,243.0,406.0,912.0,206.0,-375.0,-150.0,599.0,293.0,621.0,551.0,-109.0,920.0,-169.0,368.0,-230.0,-53.0,610.0,80.0,734.0,183.0,571.0,166.0,632.0
Y10,403.0,-319.0,462.0,-226.0,813.0,84.0,-62.0,-457.0,-416.0,46.0,767.0,1117.0,2323.0,907.0,279.0,2.0,698.0,135.0,-156.0,551.0,1623.0,193.0,239.0,634.0,456.0,-629.0,-502.0,285.0,-209.0,994.0,284.0,41.0,771.0,482.0,413.0,86.0,-15.0,810.0,43.0,-51.0,394.0,632.0,-32.0,714.0
Y11,-301.0,-543.0,490.0,-260.0,134.0,-900.0,-219.0,-832.0,-1040.0,-509.0,-19.0,401.0,1334.0,-33.0,-436.0,-347.0,-82.0,-4.0,-664.0,243.0,193.0,-993.0,-485.0,492.0,-154.0,-984.0,-671.0,277.0,-585.0,268.0,-28.0,-585.0,196.0,-414.0,-366.0,-636.0,-687.0,530.0,-453.0,177.0,-285.0,85.0,-532.0,290.0
G1,-390.0,-1163.0,-338.0,-1003.0,417.0,-783.0,-799.0,-1066.0,-744.0,-732.0,-119.0,236.0,1365.0,70.0,27.0,-698.0,370.0,-505.0,-994.0,406.0,239.0,-485.0,-1765.0,486.0,38.0,-962.0,-729.0,-404.0,-771.0,540.0,41.0,-703.0,140.0,-937.0,-428.0,-698.0,-843.0,194.0,-595.0,-265.0,-531.0,-122.0,-517.0,-365.0
G2,344.0,3.0,333.0,-278.0,896.0,-476.0,135.0,-428.0,-201.0,51.0,548.0,792.0,2080.0,667.0,195.0,-350.0,575.0,-424.0,-154.0,912.0,634.0,492.0,486.0,1073.0,-30.0,-597.0,-213.0,299.0,211.0,685.0,820.0,-7.0,831.0,-111.0,-358.0,-197.0,-511.0,707.0,-158.0,465.0,111.0,191.0,-398.0,12.0
G3,-586.0,-1096.0,137.0,-458.0,258.0,-642.0,-754.0,-833.0,-1223.0,-834.0,29.0,334.0,1131.0,187.0,-475.0,-463.0,162.0,-381.0,-742.0,206.0,456.0,-154.0,38.0,-30.0,-1492.0,-1092.0,-526.0,390.0,-592.0,97.0,257.0,-574.0,249.0,-337.0,-274.0,-634.0,-697.0,116.0,-346.0,-332.0,-537.0,-111.0,-856.0,-404.0
G4,-1291.0,-1773.0,-848.0,-1385.0,-918.0,-1514.0,-1282.0,-1554.0,-1603.0,-1405.0,-909.0,-513.0,426.0,-339.0,-998.0,-1166.0,-767.0,-1221.0,-1291.0,-375.0,-629.0,-984.0,-962.0,-597.0,-1092.0,-5827.0,-1983.0,-804.0,-1460.0,-993.0,-1004.0,-1198.0,-346.0,-1497.0,-1031.0,-1892.0,-1630.0,-708.0,-1253.0,-1323.0,-1067.0,-1037.0,-1510.0,-890.0
G5,-760.0,-1323.0,-556.0,-945.0,16.0,-1592.0,-1286.0,-1361.0,-1460.0,-1300.0,-303.0,82.0,788.0,-81.0,-645.0,-1078.0,-642.0,-900.0,-1210.0,-150.0,-502.0,-671.0,-729.0,-213.0,-526.0,-1983.0,-4162.0,-679.0,-943.0,-216.0,-782.0,-1127.0,-285.0,-1163.0,-884.0,-1330.0,-1174.0,-220.0,-1124.0,-868.0,-761.0,-312.0,-1415.0,-683.0
G6,-397.0,-1056.0,137.0,-697.0,294.0,-852.0,-493.0,-907.0,-699.0,-472.0,2.0,896.0,1853.0,530.0,281.0,-598.0,348.0,-235.0,-689.0,599.0,285.0,277.0,-404.0,299.0,390.0,-804.0,-679.0,-729.0,-763.0,412.0,-112.0,-471.0,737.0,-414.0,203.0,-654.0,-553.0,-12.0,-370.0,-494.0,-182.0,65.0,-626.0,193.0
G7,-474.0,-1675.0,-299.0,-941.0,-436.0,-1224.0,-714.0,-1499.0,-988.0,-1007.0,-331.0,-107.0,1164.0,-17.0,-815.0,-962.0,-179.0,-1050.0,-893.0,293.0,-209.0,-585.0,-771.0,211.0,-592.0,-1460.0,-943.0,-763.0,-3555.0,-353.0,-392.0,-842.0,-127.0,-1191.0,-1146.0,-1408.0,-967.0,-3.0,-1110.0,-654.0,-855.0,-256.0,-1376.0,-494.0
